DATA,MODEL,BATCH_SIZE,LEARNING_RATE,EPOCHS,OPTIMIZER,LOSS,DROPOUT,ACTIVATION,VAL_SPLIT,TRANSFER_LEARNING,PRETRAINED_MODEL_PATH,AUGMENT,train_runtime_sec,train_peak_memory_mb,loss,accuracy,precision,recall,macro_f1,inference_runtime_sec,inference_latency_ms_per_sample,inference_peak_memory_mb
organs,ResNet18,8,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,True,checkpoints/full_grid_orgs_ResNet18.pt,True,20.932914743199944,212.1923828125,1.0375948911905288,69.5,67.16991341991341,63.008519148835354,63.07826508754902,0.10209447145462036,0.5104723572731018,207.1767578125
organs,ResNet18,8,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,True,checkpoints/full_grid_orgs_ResNet18.pt,False,11.43718299921602,211.1923828125,0.9403970670700074,70.0,66.26626243737044,63.75056695610056,63.36403326907969,0.10160380136221647,0.5080190068110824,206.1767578125
organs,ResNet18,8,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,False,checkpoints/full_grid_orgs_ResNet18.pt,True,31.53716350439936,381.46533203125,1.3603403890132904,57.49999999999999,53.29745558204056,50.95732462530882,48.710796559610785,0.10042622778564692,0.5021311389282346,241.18017578125
organs,ResNet18,8,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,False,checkpoints/full_grid_orgs_ResNet18.pt,False,20.67867132090032,380.96533203125,1.3205231785774232,56.99999999999999,58.71747026919441,49.92549413695659,48.75779255761953,0.1011925796046853,0.5059628980234265,240.05517578125
organs,AlexNet,8,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,True,checkpoints/full_grid_orgs_AlexNet.pt,True,15.577257436700165,102.36279296875,1.6010247075557709,57.99999999999999,60.026430178240034,54.433547348567124,53.48990415279808,0.03913603536784649,0.19568017683923244,99.5615234375
organs,AlexNet,8,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,True,checkpoints/full_grid_orgs_AlexNet.pt,False,5.1399719482287765,102.36279296875,1.8039587897062301,61.0,64.97672766738924,56.39800647310529,54.782021636995324,0.042868515476584435,0.21434257738292217,99.5615234375
organs,AlexNet,8,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,False,checkpoints/full_grid_orgs_ResNet18.pt,True,19.767132136039436,128.32958984375,1.2275899291038512,58.5,52.97041069672621,49.25890381028721,47.29282465274643,0.04243758972734213,0.21218794863671064,117.58740234375
organs,AlexNet,8,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,False,checkpoints/full_grid_orgs_ResNet18.pt,False,6.228275918401778,128.32958984375,1.4581589412689209,54.50000000000001,47.59590615297789,45.287857728569186,42.48883418615673,0.03847298305481672,0.19236491527408361,117.58740234375
organs,VGG16,8,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,True,checkpoints/full_grid_orgs_VGG16.pt,True,21.12405195273459,201.36767578125,1.0974085927009583,59.0,51.57249864759746,51.37186660506819,48.0885425157871,0.07861097529530525,0.39305487647652626,201.11767578125
organs,VGG16,8,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,True,checkpoints/full_grid_orgs_VGG16.pt,False,10.452559115365148,201.36767578125,1.1910001999139785,58.5,51.51431038392761,50.23728906139973,48.61848666367693,0.07383513636887074,0.3691756818443537,201.11767578125
organs,VGG16,8,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,False,checkpoints/full_grid_orgs_ResNet18.pt,True,25.66199703887105,336.9384765625,1.6569480085372925,40.0,21.814982081474437,30.244982290436834,23.051621598012282,0.06814981438219547,0.34074907191097736,259.9248046875
organs,VGG16,8,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,False,checkpoints/full_grid_orgs_ResNet18.pt,False,13.293685773387551,336.9384765625,2.5414882612228396,41.0,19.129495349007545,31.591726455362817,22.26200809767878,0.0699935657903552,0.349967828951776,259.9248046875
